time,t(s),T_{env},P_{env},T1_{ext},T2_{ext},T3_{ext},T4_{ext},T1,T2,T3,T4,P1,P2,P3,P4,H1,H2,H3,H4,Turb1_{180},Turb2_{180},Turb3_{180},Turb4_{180},Turb1_{135},Turb2_{135},Turb3_{135},Turb4_{135},Turb1_{ref},Turb2_{ref},Turb3_{ref},Turb4_{ref}
1733480068.6739957,0.0,22.3359375,1017.2927199342287,22.812,21.687,21.625,21.937,25.4990234375,21.444140625,21.592578125,21.6556640625,1032.0535820237462,1001.4548959749147,1025.3516820212471,1007.4744876853233,38.521711230198235,54.264529006885006,38.43222332083955,35.03717168295157,4.095875,4.095875,4.095875,0.539625,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1733480098.6742887,30.0,22.2802734375,1017.3135134708891,22.875,21.687,21.625,21.875,25.565625,21.46484375,21.6126953125,21.6759765625,1027.436145677547,1001.4316323418662,1025.341749409354,1007.4741586091789,39.14207794888013,54.00351034872414,38.415727310123465,35.21426261137445,4.095875,4.095875,4.095875,0.6755,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1733480128.6760948,60.002,22.234765625,1017.3138819150794,22.812,21.75,21.625,21.875,25.4888671875,21.469921875,21.6126953125,21.6759765625,1024.668751939114,1001.5029706036964,1025.3862506801743,1007.4574776855312,39.05758594288163,54.276566253121736,38.30022797394202,35.05927809848245,4.095875,4.095875,4.095875,0.607375,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1733480158.6771886,90.003,22.1892578125,1017.3255121220341,22.75,21.687,21.625,21.937,25.3505859375,21.4595703125,21.6177734375,21.6708984375,1022.8765576430382,1001.449902052896,1025.35506385493,1007.4710856847939,39.04083090616804,54.13393151276255,38.27272732678669,35.280699549693836,4.095875,4.095875,4.095875,0.691875,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1733480188.679092,120.005,22.14375,1017.2711300861365,22.687,21.687,21.625,21.937,25.181640625,21.44921875,21.6076171875,21.6505859375,1021.5161536183105,1001.461369167211,1025.3796850307626,1007.4910973485006,39.38482680451375,54.04661419656576,38.256229382052794,34.88780542844059,4.095875,4.095875,4.095875,0.539,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1733480218.680146,150.006,22.1234375,1017.2870607492001,22.625,21.687,21.625,21.875,24.9716796875,21.4337890625,21.5974609375,21.640625,1020.5387676404966,1001.4929119601506,1025.4068859906733,1007.5084353274024,39.35674418341858,53.980576687374345,38.102233866936125,34.98200776652802,4.095875,4.095875,4.095875,0.684875,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1733480248.6820016,180.008,22.1134765625,1017.3218580194248,22.562,21.687,21.625,21.937,24.76171875,21.4181640625,21.572265625,21.6203125,1019.7966554298732,1001.486452811139,1025.4267458374118,1007.5080467902939,39.700242859572086,54.25324109392225,38.18473524709394,35.043028015519255,4.095875,4.095875,4.095875,0.656875,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1733480278.683813,210.01,22.1033203125,1017.2934189869343,22.5,21.687,21.625,21.937,24.5775390625,21.4130859375,21.5671875,21.6103515625,1019.210705854463,1001.5163200937138,1025.4365936944346,1007.469507074603,39.9646172290532,54.25268347529703,38.355225796998276,35.09297124224275,4.095875,4.095875,4.095875,0.539625,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1733480308.6857054,240.012,22.0880859375,1017.3192348112109,22.5,21.687,21.625,21.937,24.3828125,21.402734375,21.5521484375,21.5849609375,1018.6842860960071,1001.5344355385121,1025.439771062677,1007.5058783694327,40.284969376099895,54.24139630961611,38.393719320638894,35.36425165488485,4.095875,4.095875,4.095875,0.664125,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1733480338.6872203,270.013,22.0931640625,1017.3397936118998,22.437,21.75,21.625,21.937,24.1935546875,21.387109375,21.5470703125,21.5849609375,1018.2534508837545,1001.5228334720855,1025.4053839954336,1007.5354329519683,40.464508662026994,53.79847694804186,38.514695299712734,35.1319156343363,4.095875,4.095875,4.095875,0.68575,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
